,x,y,z
0,136084.8512,1419490.5692,84.5033
1,136085.43985,1419490.4838,84.89065
2,136085.937,1419490.4533000002,84.37519999999999
3,136081.71885,1419490.5204,85.49455
4,136078.2327,1419490.6363000001,85.21395
5,136078.7939,1419490.56005,85.4732
6,136079.35815000001,1419490.4838,85.69279999999999
7,136079.9163,1419490.4136499998,85.8331
8,136080.45005,1419490.35265,85.8453
9,136080.9899,1419490.2947,85.81175
10,136081.52365,1419490.2398,85.70195
11,136082.57895,1419490.13,85.44575
12,136083.59155,1419490.0507,84.7595
13,136084.13749999998,1419489.98665,84.7595
14,136084.73225,1419489.8982,85.21395
15,136085.29345,1419489.81585,85.5647
16,136085.8211,1419489.7701,85.29325000000001
17,136086.30604999998,1419489.74875,84.6314
18,136086.10475,1419489.398,85.06755000000001
19,136083.92705,1419489.6511499998,84.9364
20,136083.42380000002,1419489.6938500002,85.19564999999999
21,136082.3868,1419489.78535,85.71415
22,136077.48545,1419490.37095,85.0706
23,136076.36915,1419490.5204,84.60700000000001
24,136075.79880000002,1419490.59665,84.3386
25,136074.84720000002,1419490.51735,84.07325
26,136075.39315,1419490.4472,84.26235
27,136078.77255,1419489.99275,85.6867
28,136079.34290000002,1419489.9164999998,85.91544999999999
29,136079.89800000002,1419489.84635,86.09235
30,136080.4348,1419489.7823,86.132
31,136080.97465,1419489.7213,86.11675000000001
32,136081.5145,1419489.6633499998,86.03745
33,136083.0822,1419489.51085,85.5647
34,136083.59764999998,1419489.4620500002,85.3512
35,136084.1619,1419489.3858,85.59215
36,136083.07915,1419489.09605,85.705
37,136082.03605,1419489.1936499998,86.10759999999999
38,136081.5206,1419489.2455000002,86.254
39,136080.9899,1419489.30345,86.31805
40,136080.44395000002,1419489.36445,86.29365
41,136079.35205,1419489.49865,86.04965
42,136077.67455,1419489.7213,85.3451
43,136076.5552,1419489.87075,84.87235
44,136075.994,1419489.9439499998,84.6863
45,136074.32259999998,1419490.1666,84.00919999999999
46,136071.19024999999,1419490.49295,84.48805
47,136070.67785,1419490.54175,84.70765
48,136070.17765,1419490.58445,84.99130000000001
49,136069.6744,1419490.6301999998,85.1865
50,136069.16809999998,1419490.67595,85.3817
51,136072.91655,1419490.069,83.73165
52,136073.42895,1419490.02325,83.4602
53,136074.00235,1419489.93785,83.8872
54,136074.58795,1419489.8555,84.2349
55,136075.70425,1419489.7060500002,84.66189999999999
56,136076.26545,1419489.63285,84.87845
57,136077.9582,1419489.4071499999,85.56775
58,136078.51635,1419489.3309,85.84835000000001
59,136079.6479,1419489.1814499998,86.26925
60,136082.85345,1419488.8368,85.89105
61,136084.43335,1419488.6720999999,85.5891
62,136084.98235,1419488.6111,85.5647
63,136085.52525,1419488.55315,85.52810000000001
64,136086.05899999998,1419488.4921499998,85.5159
65,136084.23815,1419488.361,85.76905
66,136083.71964999998,1419488.4189499998,85.81784999999999
67,136082.15195,1419488.5684,86.33025
68,136081.63955,1419488.61415,86.6078
69,136081.09970000002,1419488.6720999999,86.64745
70,136077.2262,1419489.16925,85.3817
71,136076.665,1419489.2455000002,85.15295
72,136076.0977,1419489.3187,84.93945000000001
73,136075.55479999998,1419489.3919,84.729
74,136074.9875,1419489.46815,84.48195
75,136072.2669,1419489.79755,83.95125
76,136071.7362,1419489.85245,84.058
77,136071.2238,1419489.9012499999,84.2349
78,136070.2173,1419489.99275,84.68935
79,136069.71405,1419490.0324,85.0157
80,136068.6801,1419489.87685,85.45185000000001
81,136069.1803,1419489.82805,85.2353
82,136072.72745,1419489.51085,83.4907
83,136073.25815,1419489.4529000001,83.49985
84,136074.4385,1419489.2729500001,84.40265000000001
85,136077.24145,1419488.9008499999,85.50065
86,136078.91895,1419488.68125,86.15335
87,136079.4954,1419488.60195,86.40955
88,136080.5934,1419488.4647,86.681
89,136077.9338,1419488.37015,85.95205
90,136077.38175,1419488.4433499998,85.7172
91,136076.82055,1419488.5196,85.4671
92,136076.25325,1419488.5928,85.24445
93,136072.33095,1419489.1173999999,83.50290000000001
94,136071.82465,1419489.16315,83.7591
95,136070.8151,1419489.25465,84.22269999999999
96,136070.3027,1419489.3004,84.46365
97,136069.79945,1419489.3431,84.71375
98,136069.29925,1419489.38885,84.93029999999999
99,136068.40255,1419489.2333000002,85.4122
100,136072.48345,1419488.8612,83.57305
101,136073.06905,1419488.7697,84.11290000000001
102,136073.64854999998,1419488.68735,84.41484999999999
103,136074.20364999998,1419488.6172,84.59175
104,136074.75875,1419488.544,84.78085
105,136075.323,1419488.4677499998,85.0157
106,136071.9192,1419488.58365,83.62185000000001
107,136070.90965,1419488.67515,84.0702
108,136070.4003,1419488.71785,84.32945
109,136069.89705,1419488.7636000002,84.5704
110,136068.8997,1419488.85205,85.0706
111,136067.77425000002,1419488.6720999999,85.43355
112,136068.28665,1419488.6233,85.2475
113,136069.29315,1419488.5318,84.7717
114,136518.31720000002,1419325.3019,83.17349999999999
115,136519.4152,1419325.5001500002,83.20400000000001
116,136519.952,1419325.60385,83.2955
117,136518.8601,1419325.67095,83.17349999999999
118,136518.31720000002,1419325.5703,83.1247
119,136517.76515,1419325.4696499999,83.06370000000001
120,136516.79525,1419325.5520000001,83.00269999999999
121,136520.08925000002,1419326.1559,83.17654999999999
122,136519.55855,1419326.3511,83.04235
123,136519.00345000002,1419326.2504500002,83.0271
124,136518.44225,1419326.1498,83.02404999999999
125,136516.24625,1419325.7533000002,83.02404999999999
126,136515.69115,1419325.65265,83.021
127,136515.1269,1419325.55505,83.06675
128,136514.58705,1419325.4574499999,83.07589999999999
129,136514.0716,1419325.7258499998,83.10945
130,136516.8227,1419326.2168999999,83.00269999999999
131,136517.38085000002,1419326.3206,83.0149
132,136519.5738,1419326.71405,82.99050000000001
133,136520.1228,1419326.81775,83.03625
134,136519.0919,1419326.86045,82.96915000000001
135,136516.34385,1419326.3694,83.0149
